Timestamp,Do you have an objection?,Would you accept compensation?,How many USD?,Would you opt into being screened?,Your Response,How many USD?,How much faith do you have that the government will correctly handle your organs in the case of your death?,What is your sex?,Age?
10/19/2019 10:47:08,No,,,No,No,,4,,
10/19/2019 10:57:29,No,,,Yes,,,4,,
10/19/2019 19:50:42,No,,,Yes,,,4,Male,21
10/19/2019 19:53:15,No,,,Yes,,,7,Male,22
10/19/2019 20:26:16,No,,,Yes,,,3,Male,24
10/19/2019 23:06:45,No,,,Yes,,,5,Male,23
10/20/2019 9:51:24,No,,,No,Yes,10000,7,Male,22
10/20/2019 10:36:21,No,,,Yes,,,4,Male,22
10/20/2019 12:30:39,No,,,Yes,,,2,Male,26
10/20/2019 13:49:11,No,,,Yes,,,9,Male,21
10/20/2019 20:07:49,No,,,No,No,,2,Male,19
10/20/2019 22:03:51,No,,,Yes,,,3,Male,21
10/20/2019 23:18:21,Yes,Yes,1000000,No,No,,4,Female,
10/21/2019 11:26:28,No,,,No,Yes,10000,4,Male,18
11/12/2019 17:09:16,No,,,No,Yes,6900,4,Female,20
11/12/2019 17:18:54,No,,,Yes,,,7,Male,18
11/12/2019 17:19:19,Yes,No,,,,,1,Male,28
11/12/2019 17:19:22,No,,,Yes,,,6,Female,19
11/12/2019 17:20:45,No,,,Yes,,,7,Female,22
11/12/2019 17:21:00,No,,,No,No,,6,Male,18
11/12/2019 17:21:33,No,,,No,Yes,10000,7,Male,21
11/12/2019 17:22:37,No,,,Yes,,,1,Male,21
11/12/2019 17:25:08,No,,,Yes,,,10,Male,20
11/12/2019 17:26:09,No,,,Yes,,,10,Male,20
11/12/2019 17:26:14,Yes,Yes,1920000,No,Yes,2000000,1,Female,22
11/12/2019 17:29:26,No,,,No,No,,7,Male,21
11/12/2019 17:30:19,No,,,No,No,,1,Male,23
11/12/2019 17:36:30,No,,,Yes,,,3,Male,22
11/12/2019 17:39:33,No,,,Yes,,,6,Female,19
11/12/2019 17:50:21,Yes,No,,,,,4,Female,15
11/13/2019 0:16:38,Yes,No,,,,,1,Female,18
11/13/2019 10:01:39,Yes,No,,,,,1,Female,65
11/13/2019 10:02:42,No,,,No,No,,1,Male,20
11/13/2019 11:20:40,No,,,Yes,,,3,Female,21
11/13/2019 11:51:15,No,,,No,No,,7,Male,19
11/13/2019 12:18:02,No,,,Yes,,,7,Male,21
11/13/2019 12:18:42,No,,,Yes,,,8,Female,30
11/13/2019 13:18:43,No,,,Yes,,,4,Female,18
11/13/2019 13:47:19,No,,,Yes,,,5,Male,23
11/13/2019 14:31:45,No,,,No,Yes,100000,10,Male,
11/13/2019 14:35:01,No,,,Yes,,,10,Male,18
11/13/2019 16:10:22,No,,,Yes,,,5,Male,19
11/13/2019 16:25:23,Yes,No,,,,,4,Female,19
11/14/2019 8:50:56,No,,,Yes,,,7,Male,18
11/14/2019 9:10:16,No,,,Yes,,,6,Male,21
11/14/2019 10:58:02,No,,,No,Yes,10000,8,Male,19
11/14/2019 11:04:32,No,,,No,No,,5,Male,19
11/14/2019 11:32:50,No,,,Yes,,,4,Male,18
11/14/2019 12:24:44,No,,,No,Yes,125000,2,Male,21
11/14/2019 12:49:43,No,,,No,No,,1,Male,18
11/14/2019 12:51:27,No,,,No,No,,6,Male,19
11/14/2019 13:12:39,No,,,Yes,,,3,Male,18
11/14/2019 16:31:43,No,,,Yes,,,5,Male,21
11/14/2019 19:02:54,Yes,No,,,,,1,Male,21
11/14/2019 21:28:52,No,,,Yes,,,7,Male,21
11/15/2019 12:10:45,No,,,Yes,,,7,Male,18
11/15/2019 14:40:44,No,,,No,Yes,500,7,Male,18
11/17/2019 10:41:50,No,,,Yes,,,3,Male,50
11/18/2019 10:35:57,No,,,No,No,,7,Male,19
11/18/2019 11:57:09,No,,,No,Yes,200000,1,Male,20
11/18/2019 13:50:21,No,,,No,Yes,30000,1,Male,20
11/18/2019 15:42:08,No,,,Yes,,,9,Male,19
11/18/2019 17:05:36,No,,,Yes,,,5,Male,22
11/19/2019 9:01:52,No,,,No,Yes,396000,9,Male,19
11/19/2019 9:02:25,No,,,Yes,,,10,Male,21
11/19/2019 9:27:46,No,,,Yes,,,7,Male,18
11/19/2019 11:22:32,No,,,No,No,,6,Male,19
